,Score,FI,CO,MM,LO,SD
UPA_R,F1 Score (positive class),0.4815 ± 0.0605,0.2027 ± 0.0865,0.5217 ± 0.0430,0.5350 ± 0.0443,0.8478 ± 0.0087
UPA_R,F1 Score (negative class),0.9993 ± 0.0001,0.9982 ± 0.0003,0.9964 ± 0.0002,0.9979 ± 0.0001,0.9985 ± 0.0001
UPA_R,Macro F1 Score,0.7404 ± 0.0303,0.6005 ± 0.0433,0.7591 ± 0.0215,0.7665 ± 0.0221,0.9231 ± 0.0044
Company B (21 Attributes),,,,,,
UPA_I,Baseline,0.0236 ± 0.0035,0.0881 ± 0.0076,0.1680 ± 0.0047,0.1167 ± 0.0024,0.0927 ± 0.0019
UPA_I,F1 Score (positive class),0.6345 ± 0.0798,0.7875 ± 0.0432,0.9083 ± 0.0107,0.9342 ± 0.0062,0.9105 ± 0.0153
UPA_I,F1 Score (negative class),0.9931 ± 0.0018,0.9813 ± 0.0042,0.9821 ± 0.0022,0.9914 ± 0.0009,0.9914 ± 0.0016
UPA_I,Macro F1 Score,0.8138 ± 0.0406,0.8844 ± 0.0235,0.9452 ± 0.0064,0.9628 ± 0.0035,0.9509 ± 0.0085
UPA_T,Baseline,0.0017 ± 0.0009,0.0041 ± 0.0022,0.0096 ± 0.0018,0.0055 ± 0.0011,0.0108 ± 0.0020
UPA_T,F1 Score (positive class),0.5136 ± 0.0759,0.2247 ± 0.0681,0.5471 ± 0.0393,0.5712 ± 0.0187,0.8534 ± 0.0098
UPA_T,F1 Score (negative class),0.9993 ± 0.0001,0.9982 ± 0.0004,0.9965 ± 0.0002,0.9980 ± 0.0001,0.9986 ± 0.0001
UPA_T,Macro F1 Score,0.7564 ± 0.0380,0.6115 ± 0.0341,0.7718 ± 0.0197,0.7846 ± 0.0094,0.9260 ± 0.0049
UPA_R,Baseline,0.0019 ± 0.0010,0.0041 ± 0.0017,0.0089 ± 0.0015,0.0055 ± 0.0017,0.0099 ± 0.0022
UPA_R,F1 Score (positive class),0.5469 ± 0.0412,0.2202 ± 0.0907,0.5362 ± 0.0305,0.5721 ± 0.0300,0.8551 ± 0.0106
UPA_R,F1 Score (negative class),0.9993 ± 0.0001,0.9982 ± 0.0003,0.9965 ± 0.0001,0.9980 ± 0.0001,0.9985 ± 0.0001
UPA_R,Macro F1 Score,0.7731 ± 0.0206,0.6092 ± 0.0454,0.7664 ± 0.0153,0.7850 ± 0.0150,0.9268 ± 0.0053
